X,Y,Z,Red,Green,Blue
0,0,12.8,0,128,0
1,0,12.8,0,128,0
2,0,12.8,0,128,0
3,0,12.6,0,128,0
4,0,12.6,0,128,0
5,0,12.8,0,128,0
6,0,12.8,0,128,0
7,0,13.2,0,128,0
8,0,13.4,0,128,0
9,0,13.8,0,128,0
10,0,14.4,0,128,0
11,0,14.8,0,128,0
12,0,15.4,0,128,0
13,0,16.2,0,128,0
14,0,16.6,0,128,0
15,0,17.2,0,128,0
16,0,17.6,0,128,0
17,0,17.8,0,128,0
18,0,18,0,128,0
19,0,18.2,0,128,0
20,0,18.4,0,128,0
21,0,18.8,0,128,0
22,0,19.2,165,42,42
23,0,19.8,165,42,42
24,0,20.8,165,42,42
25,0,21.4,165,42,42
26,0,22.2,165,42,42
27,0,22.6,165,42,42
28,0,23.2,165,42,42
29,0,23.8,165,42,42
30,0,24.2,165,42,42
31,0,24.4,165,42,42
32,0,24.8,165,42,42
33,0,24.8,165,42,42
34,0,24.8,165,42,42
35,0,24.6,165,42,42
36,0,24.4,165,42,42
37,0,24,165,42,42
38,0,23.8,165,42,42
39,0,23.6,165,42,42
40,0,23.4,165,42,42
41,0,23.4,165,42,42
42,0,23.2,165,42,42
43,0,23.2,165,42,42
44,0,23.2,165,42,42
45,0,23.2,165,42,42
46,0,23,165,42,42
47,0,23,165,42,42
48,0,23,165,42,42
49,0,23,165,42,42
50,0,22.6,165,42,42
51,0,22.4,165,42,42
52,0,22,165,42,42
53,0,21.6,165,42,42
54,0,21.4,165,42,42
55,0,21.2,165,42,42
56,0,21.2,165,42,42
57,0,21,165,42,42
58,0,20.8,165,42,42
59,0,20.8,165,42,42
60,0,20.6,165,42,42
61,0,20.6,165,42,42
62,0,20.4,165,42,42
63,0,20.4,165,42,42
64,0,20.6,165,42,42
65,0,20.8,165,42,42
66,0,21,165,42,42
67,0,21.2,165,42,42
68,0,21.4,165,42,42
69,0,21.6,165,42,42
70,0,22,165,42,42
71,0,22.2,165,42,42
72,0,22.4,165,42,42
73,0,23,165,42,42
74,0,23.4,165,42,42
75,0,23.6,165,42,42
76,0,23.8,165,42,42
77,0,24,165,42,42
78,0,24.2,165,42,42
79,0,24.2,165,42,42
